Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
5.0,0.0,0.0,77.958336,6.0,472.41666,0.0,0.012765957,0.0,0.0,Sep,2,4,1,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,219.0,110.5,0.0,0.03037037,0.0,0.6,May,1,10,1,2,New_Visitor,False,True
0.0,38.04,0.0,0.0,6.0,472.875,0.012280702,0.020580808,0.0,0.0,Nov,2,6,9,15,Returning_Visitor,False,True
0.0,106.833336,0.0,0.0,429.0,844.25,0.0,0.07198413,11.622885,0.0,June,3,7,3,7,New_Visitor,False,True
0.0,36.3,0.0,373.5,1.0,4200.597,0.007699443,0.048125,13.939409,0.2,May,2,2,6,3,Returning_Visitor,False,False
0.0,118.75,0.0,0.0,31.0,371.5,0.0,0.004818713,0.0,0.0,Nov,3,2,2,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,14.0,797.7619,0.0,0.05,1.5893298,0.0,Feb,2,2,2,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,22.0,200.93333,0.075,0.075,0.0,0.0,Mar,2,2,1,2,New_Visitor,True,False
4.0,41.75,0.0,0.0,50.0,184.1,0.004489796,0.036927443,14.744496,0.0,Dec,4,1,7,3,Returning_Visitor,True,False
0.0,56.0,0.0,0.0,103.0,630.5,0.0,0.030125313,1.4538311,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,440.46155,0.0,0.0,10.0,35.4,0.008333333,0.022131145,0.0,0.0,May,1,2,7,13,Returning_Visitor,False,False
3.0,31.0,0.0,139.0,42.0,251.33333,0.0,0.014766169,0.0,0.8,May,2,4,1,5,Returning_Visitor,False,False
4.0,183.3,0.0,0.0,21.0,1952.75,0.01804878,0.002941176,0.0,0.0,May,3,2,3,4,Returning_Visitor,True,False
0.0,367.0,0.0,48.3,5.0,1544.75,0.007272727,0.018965516,10.113609,0.0,Nov,1,1,6,10,Returning_Visitor,False,False
0.0,0.0,0.0,77.958336,6.0,148.0,0.05882353,0.012980504,0.0,0.0,Mar,2,2,2,8,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,147.25,0.10769231,0.017777778,44.923622,0.0,Oct,2,2,1,5,Returning_Visitor,False,False
1.0,156.14285,0.0,559.0,14.0,305.5,0.001607717,0.004514952,0.0,0.0,May,1,1,6,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,70.0,75.6,0.0,0.025,21.6018,0.2,May,3,2,3,2,Returning_Visitor,True,False
0.0,187.0,2.0,50.2,64.0,253.0,0.014285714,0.04015873,21.105791,0.2,May,2,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,1441.637,0.004166667,0.019568766,0.0,0.0,May,2,5,7,1,Returning_Visitor,False,False
0.0,27.466667,0.0,0.0,8.0,1164.2024,0.03495192,0.005364455,13.718125,0.0,June,2,6,1,16,New_Visitor,False,False
2.0,99.666664,0.0,0.0,11.0,1523.578,0.013471503,0.0192252,0.8750479,0.0,Nov,1,1,2,3,Returning_Visitor,True,False
3.0,242.8,2.0,0.0,78.0,641.4083,0.092857145,0.13333334,36.65735,0.0,Nov,2,12,1,10,Returning_Visitor,False,True
5.0,156.0,0.0,406.9,20.0,5523.9263,0.003448276,0.07156863,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,False,False
6.0,117.833336,0.0,0.0,3.0,83.5,0.007407407,0.059313726,0.0,0.0,Oct,2,2,1,20,Other,False,False
0.0,12.1,3.0,191.9,15.0,610.3095,0.0,0.093333334,14.574838,0.8,May,2,2,8,1,Returning_Visitor,True,False
4.0,588.29724,0.0,189.4,180.0,422.53333,0.007159986,0.06,81.33444,0.0,Dec,2,2,8,1,Returning_Visitor,True,False
0.0,223.33333,0.0,0.0,47.0,63.0,0.008064516,0.1,6.6736956,0.0,Aug,2,2,1,2,Returning_Visitor,True,True
0.0,0.0,1.0,200.0,38.0,766.8238,0.00376506,0.084545456,0.0,0.4,May,1,1,1,1,Returning_Visitor,False,False
0.0,227.6,0.0,0.0,2.0,3633.9534,0.004703833,0.032432433,0.0,0.0,Oct,4,1,7,3,Returning_Visitor,True,False
3.0,143.25,0.0,103.5,14.0,9405.837,0.027027028,0.16,0.0,0.4,Dec,2,2,6,2,Returning_Visitor,False,False
8.0,103.875,0.0,0.0,340.0,1626.0,0.0,0.023642242,12.088365,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0.0,779.0,0.0,1665.0667,10.0,1644.0,0.009808489,0.01764706,3.512853,0.2,Sep,1,1,4,2,Returning_Visitor,False,False
0.0,90.17857,0.0,0.0,57.0,1156.5,0.041463416,0.013341952,6.7337446,0.6,May,2,2,3,3,Returning_Visitor,False,False
6.0,21.0,14.0,0.0,49.0,1404.4591,0.0,0.01257764,10.673317,0.0,Nov,2,6,6,1,Returning_Visitor,False,True
2.0,133.46666,0.0,341.33334,15.0,652.7,0.022,0.013333333,13.9183235,0.0,Mar,1,1,8,2,New_Visitor,False,False
